Heures,Consommation,Prevision J-1,Prevision J,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cogen.,Fioul - Autres,Gaz - TAC,Gaz - Cogen.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + eclusee,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bioenergies - Dechets,Bioenergies - Biomasse,Bioenergies - Biogaz,Consommation corrigee
00.00.00,50748,49800,50300,176,25,2568,45773,6542,-1,5714,-223,1116,-10942,21,-1704,-2000,-2788,-2298,-2586,25,86,50,5,2262,211,90,3576,1847,291,497,321,298,ND
00.15.00,,49000,49450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
00.30.00,48855,48200,48600,161,11,2360,45970,6288,-1,5315,-875,1093,-11466,20,-1704,-2000,-2788,-2298,-2586,24,79,44,5,2065,210,80,3511,1514,290,489,310,294,ND
00.45.00,,47200,47600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
01.00.00,46683,46200,46600,160,11,2328,45575,6046,-1,4406,-1046,1086,-11882,21,-1605,-1700,-2788,-2576,-2845,25,79,43,5,2021,210,92,3441,676,289,487,305,293,ND
01.15.00,,46550,47000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
01.30.00,46348,46900,47400,161,11,2261,45594,5838,-1,4359,-1295,1077,-11656,20,-1605,-1700,-2788,-2576,-2695,24,79,43,5,1957,208,90,3449,622,288,478,306,293,ND
01.45.00,,46750,47150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
02.00.00,45838,46600,46900,161,11,2130,45453,5684,-1,4099,-1220,1080,-11559,20,-1605,-2000,-2788,-2329,-2794,24,79,43,5,1832,210,83,3216,596,288,479,308,293,ND
02.15.00,,45900,45750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
02.30.00,45582,45200,44600,161,10,1486,46134,5422,-1,3916,-1232,1068,-11383,16,-1605,-2000,-2788,-2329,-3094,24,79,43,0,1239,208,39,3173,595,148,481,293,294,ND
02.45.00,,44500,43950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
03.00.00,43941,43800,43300,159,11,1424,45607,5234,-1,3790,-1232,1058,-12110,16,-1663,-2000,-2776,-2977,-3379,24,79,43,-1,1191,201,32,3249,394,148,477,289,293,ND
03.15.00,,43200,42850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
03.30.00,43203,42600,42400,158,11,1408,45950,5080,-1,3629,-1455,1067,-12644,16,-1663,-2000,-2776,-2977,-3379,24,78,43,-1,1162,211,36,3261,294,75,481,293,292,ND
03.45.00,,42350,42050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
04.00.00,42574,42100,41700,160,11,1458,45974,4926,-1,3516,-1684,1064,-12849,16,-1662,-2000,-2776,-2982,-3040,25,78,43,-1,1157,266,36,3221,296,0,477,296,292,ND
04.15.00,,42300,41900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
04.30.00,42584,42500,42100,164,11,1782,45551,4803,-1,3634,-1757,1060,-12664,18,-1662,-2000,-2776,-2982,-3055,25,79,43,-1,1154,591,37,3251,384,0,473,294,292,ND
04.45.00,,43050,42550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
05.00.00,43142,43600,43000,164,11,2197,45711,4792,-1,3798,-1546,1052,-13037,20,-1702,-2000,-2776,-2827,-1915,25,78,43,-1,1153,1007,38,3298,501,0,474,289,289,ND
05.15.00,,44500,44050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
05.30.00,45259,45400,45100,163,11,2546,45583,4779,-1,3958,-1122,1052,-11710,22,-1702,-2000,-2776,-2827,-2024,25,78,43,-1,1154,1355,38,3272,686,0,472,292,289,ND
05.45.00,,46550,46100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
06.00.00,47255,47700,47100,165,11,2765,46236,4767,-1,4266,-762,1045,-11238,23,-951,-2000,-2683,-2425,-1074,25,78,43,-1,1171,1560,36,3361,828,77,467,288,290,ND
06.15.00,,49600,48950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
06.30.00,50997,51500,50800,165,11,3219,46142,4654,-1,5306,-73,1040,-9466,25,-951,-2000,-2683,-2425,-1309,25,78,43,-1,1221,1968,31,3692,1290,325,459,289,292,ND
06.45.00,,53350,52700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
07.00.00,54422,55200,54600,165,11,3630,46771,4533,-1,7871,-77,1034,-9516,26,-1000,-2300,-1925,-700,-2028,25,79,43,-1,1216,2384,30,3945,2610,1316,460,284,291,ND
07.15.00,,56450,55600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
07.30.00,56906,57700,56600,165,10,4041,46752,4524,2,8726,-64,1044,-8294,27,-1000,-2300,-1925,-700,-2078,25,79,43,-1,1263,2749,31,4403,2643,1680,464,289,291,ND
07.45.00,,58100,57250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
08.00.00,58019,58500,57900,161,12,4065,46930,4426,114,9579,-43,1040,-8264,27,-1000,-2300,-2001,435,-2379,25,79,43,-1,1173,2862,31,4508,2877,2193,464,285,291,ND
08.15.00,,58700,58450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
08.30.00,59017,58900,59000,161,13,3807,46922,4136,491,9955,-5,1039,-7502,26,-1000,-2300,-2001,435,-1885,25,79,43,-1,981,2797,30,4609,3118,2229,463,291,284,ND
08.45.00,,59050,59350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
09.00.00,59475,59200,59700,163,13,3666,47047,3590,1061,9914,-5,1028,-7002,25,-1000,-2300,-2001,480,-1756,25,78,46,-1,862,2780,24,4559,3171,2183,459,286,283,ND
09.15.00,,59100,59550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
09.30.00,59500,59000,59400,159,14,3615,47127,2894,1791,9593,-5,1035,-6723,25,-1000,-2300,-2001,480,-1381,25,78,43,-1,803,2786,26,4379,3024,2190,458,294,282,ND
09.45.00,,58600,59100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
10.00.00,59206,58200,58800,157,14,3505,47113,2381,2532,8864,-6,1032,-6385,24,-1000,-2300,-2001,-860,-1106,27,79,44,-1,745,2739,21,4449,2577,1837,452,296,284,ND
10.15.00,,58000,58650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
10.30.00,58608,57800,58500,159,14,3556,47111,1952,3142,8589,-5,1033,-6943,25,-1000,-2300,-2001,-860,-655,29,79,45,-1,721,2815,21,4440,2572,1578,456,295,283,ND
10.45.00,,57500,58250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
11.00.00,58190,57200,58000,159,10,3485,46983,1536,3736,7962,-6,1027,-6704,24,-1000,-2300,-2001,-1701,248,29,80,46,-1,713,2752,21,4342,2181,1439,455,294,278,ND
11.15.00,,56950,57700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
11.30.00,57938,56700,57400,159,10,3460,46969,1305,4212,7637,-6,1034,-6842,24,-1000,-2300,-2001,-1701,678,29,81,45,0,670,2769,21,4270,2072,1295,456,298,280,ND
11.45.00,,56750,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
12.00.00,58071,56800,57800,159,12,3387,46922,1165,4626,7157,-5,1033,-6384,24,-1000,-2300,-2016,-1900,1451,29,82,43,-1,706,2660,21,4256,1787,1114,457,298,278,ND
12.15.00,,56250,57350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
12.30.00,57673,55700,56900,159,14,3299,46793,1104,4940,6156,-5,1050,-5838,24,-1000,-2300,-2016,-1900,2066,29,82,43,0,695,2583,21,3992,1339,826,464,300,286,ND
12.45.00,,56200,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
13.00.00,57588,56700,58300,158,14,3269,46697,1080,5238,5640,-5,1046,-5549,24,-1000,-2300,-2016,-2028,1672,28,82,44,0,695,2553,21,3919,1198,522,460,298,288,ND
13.15.00,,55700,57100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
13.30.00,56545,54700,55900,161,14,3062,46349,1079,5372,5320,-6,1047,-5852,23,-1000,-2300,-2016,-1785,1803,28,82,46,-1,689,2352,21,3787,1150,383,457,301,289,ND
13.45.00,,54350,55550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
14.00.00,55695,54000,55200,161,12,3034,46175,1102,5412,4829,-665,1042,-5407,23,-1000,-2300,-2016,-1727,955,28,82,45,-1,688,2325,21,3660,1102,66,456,300,286,ND
14.15.00,,53950,54700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
14.30.00,54793,53900,54200,159,11,2803,46254,1098,5291,5028,-666,1015,-6201,22,-1000,-2300,-2016,-2127,947,28,82,43,0,684,2098,21,3624,1319,86,437,301,277,ND
14.45.00,,53000,53500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
15.00.00,53406,52100,52800,158,11,2729,46081,1109,5131,4785,-730,999,-6868,22,-1000,-2300,-2032,-2033,-493,27,82,44,-1,682,2026,21,3707,1024,54,428,295,276,ND
15.15.00,,51650,52300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
15.30.00,52457,51200,51800,158,12,2797,46231,1109,4824,5051,-765,1012,-7971,22,-1000,-2300,-2032,-2369,-576,27,82,44,-1,683,2093,21,3789,994,268,429,298,285,ND
15.45.00,,50700,51650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
16.00.00,51756,50200,51500,157,12,2807,46274,1119,4462,5007,-942,1014,-8154,22,-1000,-2300,-2032,-2726,-814,27,82,43,-1,676,2109,21,3768,962,276,438,291,286,ND
16.15.00,,49650,51000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
16.30.00,50827,49100,50500,156,12,2970,46233,1123,3958,5252,-942,1012,-8948,23,-1000,-2300,-2032,-2726,-1477,27,82,43,0,658,2291,21,3771,1215,265,432,294,287,ND
16.45.00,,48700,50200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
17.00.00,50135,48300,49900,159,12,3063,46464,1101,3473,5561,-1115,1013,-9595,24,-1000,-2300,-2032,-2724,-2273,27,84,44,-1,657,2385,21,3714,1516,331,432,296,285,ND
17.15.00,,48150,49600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
17.30.00,49742,48000,49300,155,9,3447,46493,1082,2774,5694,-646,1015,-10282,26,-1000,-2300,-2032,-2724,-2963,27,81,43,-1,676,2753,19,3774,1609,311,430,299,286,ND
17.45.00,,48200,49800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
18.00.00,49891,48400,50300,154,10,3461,46418,1056,2132,6667,-21,1015,-11002,26,-1000,-2300,-1996,-2426,-1336,27,80,44,0,677,2766,19,3993,2179,496,432,295,288,ND
18.15.00,,48950,50650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
18.30.00,50967,49500,51000,154,10,3317,45956,1072,1473,7402,-42,1017,-9394,25,-1000,-2300,-1996,-2426,-1715,27,80,43,0,680,2617,20,4417,2373,612,438,292,287,ND
18.45.00,,50300,51600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
19.00.00,52871,51100,52200,154,10,3444,45829,1084,886,9840,-47,1019,-9347,25,-1000,-2300,-1996,125,-2119,27,80,43,-1,682,2743,20,4662,3372,1805,437,291,291,ND
19.15.00,,51600,52650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
