Heures,Consommation,Prévision J-1,Prévision J,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cogén.,Fioul - Autres,Gaz - TAC,Gaz - Cogén.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + éclusée,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bioénergies - Déchets,Bioénergies - Biomasse,Bioénergies - Biogaz,Consommation corrigée
00:00,56299,56100,56300,94,20,4852,39835,6832,-1,12359,-33,1148,-8807,32,-1901,-769,-1418,-2189,-1101,12,58,6,-1,2066,2690,97,4830,4904,2625,507,315,327,ND
00:15,,55300,55400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
00:30,55056,54500,54500,97,17,4183,39886,6689,-1,10861,-70,1130,-7736,29,-1901,-769,-1418,-2189,-964,14,56,9,-1,1963,2120,101,4589,4560,1712,493,308,328,ND
00:45,,53650,53800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
01:00,52906,52800,53100,97,16,4074,39853,6472,-1,8476,-74,1129,-7137,30,-1802,-139,-124,-2311,-1575,14,56,9,-1,1958,2015,101,4431,3457,588,489,312,327,ND
01:15,,53050,53400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
01:30,52812,53300,53700,97,17,4016,39882,6215,-1,7817,-74,1138,-6295,30,-1802,-139,-124,-2311,-1373,14,56,9,-1,1954,1961,101,4275,2944,598,493,315,330,ND
01:45,,53200,53500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
02:00,52506,53100,53300,97,17,3926,40031,5988,-1,7660,-73,1130,-6268,29,-1802,-245,-121,-2077,-1106,14,56,9,-1,1812,2011,104,4202,2877,581,492,307,331,ND
02:15,,52400,52200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
02:30,52068,51700,51100,97,16,3284,40204,5806,-1,7294,-28,1126,-5729,26,-1802,-245,-121,-2077,-1135,14,56,10,-1,1235,1974,76,3961,2849,484,491,305,330,ND
02:45,,51050,50450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
03:00,50494,50400,49800,96,16,3128,40450,5653,-1,6760,-275,1122,-6456,25,-1802,-534,55,-2234,-2992,14,56,9,-1,1178,1874,76,3909,2476,375,490,302,331,ND
03:15,,49950,49300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
03:30,49557,49500,48800,98,17,3206,40996,5509,-1,6956,-275,1120,-8068,25,-1802,-534,55,-2234,-2992,14,56,11,-1,1167,1963,76,3914,2578,464,487,302,330,ND
03:45,,49150,48400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
04:00,48652,48800,48000,97,17,2876,40387,5455,-1,6832,-275,1119,-7854,24,-1802,-796,226,-2226,-3778,14,56,9,-1,1169,1632,76,3908,2498,426,488,300,331,ND
04:15,,48700,47850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
04:30,48373,48600,47700,97,16,2959,40461,5357,-1,7100,-103,1126,-8639,24,-1802,-796,226,-2226,-3930,14,56,9,-1,1155,1730,75,4007,2578,515,495,300,331,ND
04:45,,48850,48050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
05:00,48431,49100,48400,97,17,2954,40499,5281,-1,7186,-37,1126,-8692,24,-1802,-1065,320,-2115,-1677,14,56,10,-1,1154,1727,74,4033,2638,515,497,300,330,ND
05:15,,49650,48700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
05:30,49491,50200,49000,97,17,2908,40515,5123,-1,6945,-37,1112,-7187,24,-1802,-1065,320,-2115,-2388,14,55,9,-1,1154,1681,74,4195,2477,273,482,301,328,ND
05:45,,50800,49700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
06:00,50408,51400,50400,97,17,3211,40732,4914,-1,7606,-19,1113,-7261,25,-1901,-1209,-129,-1911,-3209,14,56,9,-1,1151,1987,74,4245,2838,523,483,303,327,ND
06:15,,52000,51250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
06:30,52465,52600,52100,97,18,3398,40690,4639,-1,11030,-6,1109,-8509,25,-1901,-1209,-129,-2011,-3533,14,55,9,-1,1147,2177,74,4858,4018,2155,479,300,329,ND
06:45,,53050,52700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
07:00,53673,53500,53300,98,20,3472,40728,4476,0,12514,-6,1103,-8732,25,-2000,-423,988,-2503,-4388,14,56,9,-1,1132,2267,74,5046,4974,2494,476,300,328,ND
07:15,,53800,53650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
07:30,54625,54100,54000,97,20,3425,41029,4390,6,13175,-6,1107,-8618,24,-2000,-423,988,-2282,-4295,14,56,9,-1,1090,2262,74,5310,5290,2574,478,303,326,ND
07:45,,54500,54650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
08:00,55513,54900,55300,96,20,3373,41237,4212,124,13545,-6,1099,-8187,24,-2000,-1192,970,-1305,-3376,14,56,9,-1,1036,2264,74,5523,5599,2423,474,298,327,ND
08:15,,55500,55900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
08:30,56599,56100,56500,86,20,3196,41625,3874,549,13237,-6,1097,-7080,23,-2000,-1192,970,-854,-2406,14,55,9,-1,862,2261,73,5609,5207,2422,472,302,322,ND
08:45,,56500,56800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
09:00,57381,56900,57100,87,17,3071,41877,3272,1236,12525,-7,1093,-5791,22,-2000,-1727,279,-1165,-1527,14,56,10,-1,741,2260,71,5597,4833,2095,470,304,319,ND
09:15,,57050,57300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND
09:30,57470,57200,57500,87,16,2942,42036,2508,2080,13054,-5,1094,-6341,21,-2000,-1727,279,-1165,-352,14,55,9,-1,673,2199,71,5636,5178,2241,471,306,317,ND
