Heures,Consommation,Prévision J-1,Prévision J,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cogén.,Fioul - Autres,Gaz - TAC,Gaz - Cogén.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + éclusée,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bioénergies - Déchets,Bioénergies - Biomasse,Bioénergies - Biogaz,Consommation corrigée
00:00,69646,69400,69700,173,1003,7957,44699,2448,0,5160,-1284,845,8645,81,-911,2412,1160,-26,4670,1,22,150,-1,2992,4966,0,3438,1694,28,227,343,274,70293
00:15,69227,68650,68750,174,974,8136,44991,2440,0,5776,-1147,845,7038,80,,,,,,2,22,150,-1,2995,5142,0,3307,2408,61,227,343,274,69873
00:30,67725,67900,67800,172,906,8098,44891,2408,0,5468,-2318,845,7255,81,-911,2412,1160,-26,4670,0,22,150,-1,2995,5104,0,3266,2141,61,228,342,274,68362
00:45,66236,66850,67000,173,875,7957,44607,2443,0,4683,-2321,843,6976,81,,,,,,1,22,150,0,2996,4961,0,3045,1602,36,226,342,274,66856
01:00,66074,65800,66200,174,845,7901,44694,2431,0,4655,-2325,843,6856,80,-1084,2883,1004,-656,4860,2,22,150,-1,2981,4921,0,3088,1533,34,225,343,274,66682
01:15,67077,66500,66700,174,976,8300,45074,2414,0,4768,-2578,839,7110,84,,,,,,2,22,150,-1,2949,5352,0,2928,1799,41,221,343,274,67538
01:30,66499,67200,67200,170,899,8234,44852,2454,0,4380,-2587,845,7252,84,-1084,2883,1004,-656,4935,-2,22,150,0,2957,5277,0,2905,1437,38,227,343,274,66822
01:45,66206,67000,67050,170,863,8275,44907,2473,0,4229,-2590,844,7035,83,,,,,,-2,22,150,0,2953,5322,0,2891,1299,39,227,342,274,66522
02:00,66074,66800,66900,170,810,8244,44987,2512,0,4250,-2590,845,6846,82,-1048,3468,440,-866,4397,-2,22,150,-1,2957,5288,0,2898,1315,37,227,343,274,66381
02:15,66400,66000,66150,170,796,8228,45108,2511,0,4299,-2178,844,6622,81,,,,,,-2,22,150,-2,2952,5278,0,2880,1379,40,227,342,274,66696
02:30,65546,65200,65400,170,756,7889,44858,2519,0,3888,-2246,844,6868,80,-1048,3468,440,-866,4397,-2,22,150,-1,2956,4934,0,2867,985,36,227,342,274,65844
02:45,64595,64400,64700,170,751,7496,44919,2552,0,3836,-2347,847,6371,77,,,,,,-2,22,150,-2,2955,4543,0,2878,958,0,231,341,274,64903
03:00,63900,63600,64000,170,712,7459,44768,2585,0,4330,-2507,838,5545,76,-692,2381,214,-1057,3992,-2,22,150,-1,2951,4509,0,2878,1452,0,222,341,274,64210
03:15,63427,63200,63500,170,806,7366,45060,2503,0,4464,-2504,845,4717,77,,,,,,-2,22,150,-1,2951,4416,0,2829,1635,0,229,341,274,63734
03:30,62883,62800,63000,174,757,7176,44979,2523,0,4333,-2709,843,4807,75,-692,2381,214,-1057,3992,2,22,150,-1,2951,4226,0,2848,1485,0,227,341,274,63187
03:45,62763,62350,62700,173,746,7217,44851,2542,0,4309,-2701,843,4783,75,,,,,,1,22,150,0,2953,4264,0,2833,1476,0,227,341,274,63075
