time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,9.1,71.24,0,0,0,279.36,5.84,302,100863
20150101:0100,8.44,71.08,0,0,0,275.7,5.71,302,100787
20150101:0200,7.78,70.91,0,0,0,272.03,5.58,302,100711
20150101:0300,7.12,70.75,0,0,0,268.37,5.45,312,100787
20150101:0400,6.46,70.58,0,0,0,264.7,5.33,321,100863
20150101:0500,5.8,70.41,0,0,0,261.04,5.2,330,100938
20150101:0600,5.14,70.25,0,0,0,257.37,5.07,345,101103
20150101:0700,4.48,70.08,36,32.54,33,253.71,4.94,0,101267
20150101:0800,6.74,53.07,121,30.13,113,273.25,5.57,16,101431
20150101:0900,7.28,46.48,398,676.87,123,272.25,5.99,15,101458
20150101:1000,7.81,39.88,532,827.95,114,271.25,6.41,15,101484
20150101:1100,8.34,33.29,574,764.58,150,270.25,6.83,14,101510
20150101:1200,8.82,33.3,586,835.19,125,263.58,6.3,11,101520
20150101:1300,9.3,33.32,513,778.23,126,256.92,5.78,8,101530
20150101:1400,9.77,33.33,391,717.86,108,250.25,5.26,5,101540
20150101:1500,8.82,37.91,145,112.08,117,249.1,4.76,359,101599
20150101:1600,7.86,42.5,30,67.66,25,247.95,4.26,353,101658
20150101:1700,6.91,47.08,0,0,0,246.8,3.77,347,101717
20150101:1800,6.47,49.72,0,0,0,246.97,3.8,346,101770
20150101:1900,6.03,52.35,0,0,0,247.13,3.83,344,101822
20150101:2000,5.58,54.99,0,0,0,247.3,3.86,343,101875
20150101:2100,5.39,58.61,0,0,0,246.32,3.71,345,101892
20150101:2200,5.19,62.23,0,0,0,245.33,3.55,346,101908
20150101:2300,4.99,65.85,0,0,0,244.35,3.39,347,101924
20150102:0000,4.07,69.63,0,0,0,242.53,3.41,343,101905
20150102:0100,3.15,73.42,0,0,0,240.72,3.43,339,101885
20150102:0200,2.23,77.2,0,0,0,238.9,3.45,334,101865
20150102:0300,1.95,78.13,0,0,0,237.95,3.54,329,101888
20150102:0400,1.67,79.05,0,0,0,237,3.62,324,101911
20150102:0500,1.39,79.98,0,0,0,236.05,3.71,319,101934
20150102:0600,2.57,73.11,0,0,0,237.05,3.9,319,101987
20150102:0700,3.75,66.24,43,76.29,36,238.05,4.09,318,102039
20150102:0800,4.92,59.37,239,576.5,86,239.05,4.28,318,102092
20150102:0900,6.84,53.78,394,651.88,129,245.68,4.4,319,102053
20150102:1000,8.75,48.2,508,702.27,153,252.32,4.53,320,102013
20150102:1100,10.66,42.61,563,709.13,169,258.95,4.66,322,101974
20150102:1200,11.17,42.86,582,805.9,136,262.03,3.96,319,101964
20150102:1300,11.68,43.1,477,597.1,179,265.12,3.26,317,101954
20150102:1400,12.19,43.35,393,719.17,108,268.2,2.57,315,101944
20150102:1500,11.19,49.56,140,91.25,117,269.75,2.23,316,101974
20150102:1600,10.18,55.76,17,0,17,271.3,1.89,317,102003
20150102:1700,9.17,61.97,0,0,0,272.85,1.56,318,102033
20150102:1800,8.51,65.35,0,0,0,271.85,1.26,321,102062
20150102:1900,7.85,68.73,0,0,0,270.85,0.97,323,102092
20150102:2000,7.18,72.11,0,0,0,269.85,0.68,326,102122
20150102:2100,6.66,75.3,0,0,0,267.67,0.76,334,102135
20150102:2200,6.13,78.49,0,0,0,265.48,0.84,343,102148
20150102:2300,5.61,81.68,0,0,0,263.3,0.92,351,102161
20150103:0000,4.84,82.21,0,0,0,259.3,1.47,330,102187
20150103:0100,4.08,82.73,0,0,0,255.3,2.02,309,102214
20150103:0200,3.32,83.26,0,0,0,251.3,2.57,288,102240
20150103:0300,2.54,86.38,0,0,0,250.02,2.57,288,102266
20150103:0400,1.77,89.49,0,0,0,248.73,2.57,288,102293
20150103:0500,0.99,92.61,0,0,0,247.45,2.57,288,102319
20150103:0600,2.35,86.22,0,0,0,248.57,2.37,287,102365
20150103:0700,3.71,79.82,42,76.58,35,249.68,2.18,286,102411
20150103:0800,5.06,73.43,242,595.4,84,250.8,1.99,284,102457
20150103:0900,7.09,65.01,405,715.22,114,256.4,2.15,292,102414
20150103:1000,9.11,56.59,528,799.98,123,262,2.32,300,102371
20150103:1100,11.13,48.17,571,738.18,160,267.6,2.48,307,102329
20150103:1200,11.44,46.17,587,821.67,131,267.87,2.62,309,102299
20150103:1300,11.75,44.18,512,752.55,135,268.13,2.75,311,102270
20150103:1400,12.06,42.18,385,657.56,123,268.4,2.88,312,102240
20150103:1500,11.62,49.08,141,90.41,118,265.4,2.87,300,102247
20150103:1600,11.17,55.98,30,50.87,26,262.4,2.86,288,102253
20150103:1700,10.73,62.88,0,0,0,259.4,2.86,275,102260
20150103:1800,9.47,66.41,0,0,0,258.97,3.05,267,102260
20150103:1900,8.21,69.94,0,0,0,258.53,3.25,259,102260
20150103:2000,6.94,73.47,0,0,0,258.1,3.45,251,102260
20150103:2100,5.98,74.79,0,0,0,256.82,3.59,248,102230
20150103:2200,5.02,76.12,0,0,0,255.53,3.73,246,102201
20150103:2300,4.07,77.44,0,0,0,254.25,3.88,244,102171
20150104:0000,3.57,75.5,0,0,0,252.53,4.08,248,102135
20150104:0100,3.07,73.57,0,0,0,250.82,4.28,252,102099
20150104:0200,2.57,71.63,0,0,0,249.1,4.48,255,102062
20150104:0300,2.37,71.56,0,0,0,249,4.67,255,102039
20150104:0400,2.18,71.48,0,0,0,248.9,4.85,254,102016
20150104:0500,1.98,71.41,0,0,0,248.8,5.03,253,101993
20150104:0600,3.27,65.3,0,0,0,250.72,5.08,250,101990
20150104:0700,4.56,59.19,40,65.82,34,252.63,5.12,248,101987
20150104:0800,5.85,53.08,237,553.8,90,254.55,5.16,246,101984
20150104:0900,8.29,46.23,399,677.6,123,259.23,5.61,247,101892
20150104:1000,10.73,39.38,518,743.41,141,263.92,6.06,248,101799
20150104:1100,13.17,32.53,572,738.29,160,268.6,6.51,250,101707
20150104:1200,13.77,31.41,585,808.44,135,269.75,6.35,250,101642
20150104:1300,14.37,30.3,506,711.8,148,270.9,6.2,251,101576
20150104:1400,14.97,29.18,387,658.87,123,272.05,6.04,251,101510
20150104:1500,13.45,32.62,141,89.56,118,270.85,5.83,247,101494
